"0","0","《<AREA 3>》の《<STG 590>》で
""寝ているトロール""を見られるんですって！
近付いたら起きちゃうみたいだけど――
ねぇマスター、一緒に記念写真を
撮りに行きません？","《<AREA 3>》の《<STG 590>》で
""寝ているトロール""を見られるんですって！
近付いたら起きちゃうみたいだけど――
ねぇマスター、一緒に記念写真を
撮りに行きません？","ui\00_message\quest\q80201049.gmd","\quest\q80201049.arc","q80201049.arc","7","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>にいって一緒に写真を撮りましょう","<STG 120>にいって一緒に写真を撮りましょう","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","0","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>で一緒に写真を撮ってみたいです","<STG 120>で一緒に写真を撮ってみたいです","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","1","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>に行きましょう！写真を撮りましょう！","<STG 120>に行きましょう！写真を撮りましょう！","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","2","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>で素晴らしい景色を見つけました
一緒に行ってみませんか","<STG 120>で素晴らしい景色を見つけました
一緒に行ってみませんか","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","3","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>で一緒に写真を撮ってもいいですよ","<STG 120>で一緒に写真を撮ってもいいですよ","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","4","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>に行って、一緒に写真を撮りたいです
いかがですか？","<STG 120>に行って、一緒に写真を撮りたいです
いかがですか？","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","5","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>へ今すぐ行こう！記念撮影だ！","<STG 120>へ今すぐ行こう！記念撮影だ！","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","6","Partner Pawn","Quest Dialogue"
"0","0","<STG 120>に素敵な場所があるみたいよ
一緒に行って写真撮影なんてどう？","<STG 120>に素敵な場所があるみたいよ
一緒に行って写真撮影なんてどう？","ui\00_message\quest\q80201050.gmd","\quest\q80201050.arc","q80201050.arc","7","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》――
レスタニアの砦とどう異なるのか、興味があります
ぜひ《<STG 443>》内にある作戦室へ行き
記録として、覚者さまとの写真を撮りたいのですが
いかがでしょうか？","アッカ―シェランの《<STG 443>》――
レスタニアの砦とどう異なるのか、興味があります
ぜひ《<STG 443>》内にある作戦室へ行き
記録として、覚者さまとの写真を撮りたいのですが
いかがでしょうか？","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","0","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》
何か学べることがあるかもしれないし
自分も、行ってみたいです
それで《<STG 443>》の作戦室で記録として
覚者さまと一緒に写真を撮れたら――と思います","アッカ―シェランの《<STG 443>》
何か学べることがあるかもしれないし
自分も、行ってみたいです
それで《<STG 443>》の作戦室で記録として
覚者さまと一緒に写真を撮れたら――と思います","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","1","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》――
レスタニアも防衛上、参考になることが
あるかもしれません！
そうとなれば《<STG 443>》内の作戦室へ
共に行き、記録撮影を行いましょう！","アッカ―シェランの《<STG 443>》――
レスタニアも防衛上、参考になることが
あるかもしれません！
そうとなれば《<STG 443>》内の作戦室へ
共に行き、記録撮影を行いましょう！","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","2","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》
レスタニア防衛上、参考になる点が見受けられる
そのため、まずは足がかりとして
《<STG 443>》内の作戦室へと訪れ
記録撮影を行うべきかと","アッカ―シェランの《<STG 443>》
レスタニア防衛上、参考になる点が見受けられる
そのため、まずは足がかりとして
《<STG 443>》内の作戦室へと訪れ
記録撮影を行うべきかと","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","3","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》ですか
レスタニアの砦を防衛するうえで
何か参考にできる点があるやもしれません
いかがです、《<STG 443>》の作戦室へ
共に赴き、記録撮影を行いましょう","アッカ―シェランの《<STG 443>》ですか
レスタニアの砦を防衛するうえで
何か参考にできる点があるやもしれません
いかがです、《<STG 443>》の作戦室へ
共に赴き、記録撮影を行いましょう","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","4","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》って
レスタニアの砦ととってもよく似てるね！
ぼくも見てみたいなぁ――
ねぇ覚者さま、《<STG 443>》へ行って
作戦室でいっしょに写真を撮りませんか？","アッカ―シェランの《<STG 443>》って
レスタニアの砦ととってもよく似てるね！
ぼくも見てみたいなぁ――
ねぇ覚者さま、《<STG 443>》へ行って
作戦室でいっしょに写真を撮りませんか？","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","5","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》とやら
レスタニアの砦を防衛するうえでの
参考になるかもしれやせん
ぜひ一度、《<STG 443>》の作戦室へ行って
記録撮影しておくことをおすすめしますぜ","アッカ―シェランの《<STG 443>》とやら
レスタニアの砦を防衛するうえでの
参考になるかもしれやせん
ぜひ一度、《<STG 443>》の作戦室へ行って
記録撮影しておくことをおすすめしますぜ","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","6","Partner Pawn","Quest Dialogue"
"0","0","アッカ―シェランの《<STG 443>》って所
防衛上、レスタニアの砦にも応用できる点は
ないかしら？
一度、《<STG 443>》の作戦室へ行ってみて
記録撮影したほうが良いんじゃないかしら","アッカ―シェランの《<STG 443>》って所
防衛上、レスタニアの砦にも応用できる点は
ないかしら？
一度、《<STG 443>》の作戦室へ行ってみて
記録撮影したほうが良いんじゃないかしら","ui\00_message\quest\q80301000.gmd","\quest\q80301000.arc","q80301000.arc","7","Partner Pawn","Quest Dialogue"
"0","0","覚者さま、《<STG 131>》に
レスタニアとは異なる様式の""朽ちた礼拝堂""が
あるそうですよ！
冒険の息抜きに、共に写真でも撮りに行きませんか？","覚者さま、《<STG 131>》に
レスタニアとは異なる様式の""朽ちた礼拝堂""が
あるそうですよ！
冒険の息抜きに、共に写真でも撮りに行きませんか？","ui\00_message\quest\q80301001.gmd","\quest\q80301001.arc","q80301001.arc","0","Partner Pawn","Quest Dialogue"
"0","0","覚者さま――《<STG 131>》に
レスタニアとは異なる様式の""朽ちた礼拝堂""が
あるんだそうです
気が向かれたら、その、一緒に見に行って
記念撮影でも、どうかと思って――","覚者さま――《<STG 131>》に
レスタニアとは異なる様式の""朽ちた礼拝堂""が
あるんだそうです
気が向かれたら、その、一緒に見に行って
記念撮影でも、どうかと思って――","ui\00_message\quest\q80301001.gmd","\quest\q80301001.arc","q80301001.arc","1","Partner Pawn","Quest Dialogue"
